City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port elizabeth,-33.918,25.5701,294.32,95,75,3.6,ZA,1705008385
1,port-aux-francais,-49.35,70.2167,280.28,92,100,11.1,TF,1705008385
2,belyy yar,53.6039,91.3903,265.09,93,75,3.0,RU,1705008385
3,geraldton,-28.7667,114.6,295.38,83,100,4.12,AU,1705008385
4,grytviken,-54.2811,-36.5092,276.63,86,61,4.9,GS,1705008386
5,amposta,40.7131,0.581,278.71,65,1,4.2,ES,1705008386
6,qarauyl,48.9451,79.255,259.53,69,26,6.61,KZ,1705008386
7,princeville,45.7668,-61.2985,277.34,88,100,1.54,CA,1705008386
8,college,64.8569,-147.8028,254.12,73,75,2.57,US,1705008387
9,padangsidempuan,1.3667,99.2667,295.16,97,100,1.06,ID,1705008387
10,waitangi,-43.9535,-176.5597,290.83,95,53,10.89,NZ,1705008388
11,hafar al-batin,28.4328,45.9708,289.47,51,0,4.12,SA,1705008388
12,olonkinbyen,70.9221,-8.7187,273.92,93,100,6.82,SJ,1705008388
13,vlahita,46.35,25.5167,266.2,60,100,2.2,RO,1705008389
14,invercargill,-46.4,168.35,290.38,74,90,4.47,NZ,1705008389
15,adamstown,-25.066,-130.1015,297.6,81,78,6.68,PN,1705008389
16,mejit,10.2753,170.8646,299.85,79,100,10.44,MH,1705008389
17,fale old settlement,-9.3852,-171.2468,302.15,76,99,6.0,TK,1705008390
18,vadso,70.0744,29.7487,265.24,79,75,6.17,NO,1705008390
19,patterson,37.4716,-121.1297,285.01,49,7,3.97,US,1705008390
20,enshi,30.3,109.4833,281.12,86,0,0.32,CN,1705008391
21,portland,45.5234,-122.6762,280.17,92,100,6.69,US,1705008392
22,ushuaia,-54.8,-68.3,283.96,50,0,10.8,AR,1705008396
23,fort bragg,35.139,-79.006,288.66,43,0,4.12,US,1705008404
24,ribeira grande,38.5167,-28.7,289.14,94,75,15.95,PT,1705008407
25,prado,-17.3411,-39.2208,299.06,79,1,3.9,BR,1705008407
26,papao,-17.75,-149.55,300.97,78,85,8.33,PF,1705008411
27,gebre guracha,9.8,38.4,286.61,29,99,0.84,ET,1705008411
28,palikir - national government center,6.9248,158.1611,301.62,84,100,6.17,FM,1705008412
29,cururupu,-1.8283,-44.8683,300.34,77,100,2.01,BR,1705008412
30,bethel,41.3712,-73.414,279.37,60,0,4.12,US,1705008290
31,edinburgh of the seven seas,-37.0676,-12.3116,291.06,84,3,3.57,SH,1705008413
32,fengxiang,47.5833,130.8333,245.52,97,24,1.77,CN,1705008413
33,albany,42.6001,-73.9662,277.41,68,98,1.91,US,1705008413
34,west island,-12.1568,96.8225,300.14,94,40,2.57,CC,1705008413
35,thompson,55.7435,-97.8558,247.24,76,75,1.03,CA,1705008160
36,cabinda,-5.55,12.2,300.23,83,97,0.0,AO,1705008379
37,yuzhno-kurilsk,44.0306,145.8556,272.8,78,100,11.13,RU,1705008414
38,sao joao da barra,-21.6403,-41.0511,301.2,80,49,9.46,BR,1705008415
39,carnarvon,-24.8667,113.6333,295.67,80,1,7.37,AU,1705008416
40,klaksvik,62.2266,-6.589,279.66,80,98,2.63,FO,1705008417
41,bilibino,68.0546,166.4372,240.66,94,100,0.98,RU,1705008417
42,georgetown,5.4112,100.3354,300.11,84,20,4.12,MY,1705008140
43,balkanabat,39.5108,54.3671,279.76,65,80,4.99,TM,1705008419
44,tiksi,71.6872,128.8694,236.95,97,75,3.66,RU,1705008420
45,port mathurin,-19.6833,63.4167,301.41,76,100,3.34,MU,1705008421
46,eloi mendes,-21.61,-45.5653,298.3,76,95,1.73,BR,1705008422
47,cabo san lucas,22.8909,-109.9124,298.49,59,40,7.72,MX,1705008141
48,kholmsk,47.0511,142.0569,268.42,90,100,8.09,RU,1705008424
49,burao,9.5221,45.5336,287.32,71,26,4.37,SO,1705008424
50,brookings,44.3114,-96.7984,257.29,77,0,5.14,US,1705008424
51,colonia,50.9333,6.95,273.63,78,66,0.83,DE,1705008136
52,padang,-0.9492,100.3543,298.18,91,100,1.43,ID,1705008425
53,playas,-2.6333,-80.3833,299.12,78,98,4.21,EC,1705008425
54,isafjordur,66.0755,-23.124,277.24,95,100,2.11,IS,1705008426
55,mossel bay,-34.1831,22.146,292.11,94,42,1.41,ZA,1705008426
56,margate,51.3813,1.3862,279.09,91,100,3.58,GB,1705008256
57,uturoa,-16.7333,-151.4333,301.05,74,100,4.64,PF,1705008426
58,klyuchi,52.2667,79.1667,254.17,85,65,6.37,RU,1705008427
59,constantia,44.1833,28.65,270.76,60,3,7.47,RO,1705008353
60,badger,64.8,-147.5333,254.08,77,40,2.57,US,1705008432
61,iqaluit,63.7506,-68.5145,255.2,77,100,1.03,CA,1705008433
62,ras al khaimah city,25.7895,55.9432,286.27,88,0,1.54,AE,1705008433
63,polyarnyye zori,67.3661,32.4981,258.7,100,96,1.6,RU,1705008434
64,blackmans bay,-43.0167,147.3167,291.22,84,43,1.31,AU,1705008434
65,vila franca do campo,37.7167,-25.4333,291.42,99,96,8.99,PT,1705008434
66,dudinka,69.4058,86.1778,257.94,91,100,4.47,RU,1705008435
67,kainantu,-6.2887,145.8655,289.95,96,79,1.02,PG,1705008435
68,vorgashor,67.5833,63.95,250.3,92,100,7.45,RU,1705008435
69,akureyri,65.6835,-18.0878,279.11,70,40,6.69,IS,1705008435
70,bima,-8.4667,118.7167,298.86,90,81,0.82,ID,1705008436
71,ponta delgada,37.7333,-25.6667,291.59,77,40,8.23,PT,1705008436
72,belmonte,-15.8631,-38.8828,299.48,75,20,2.44,BR,1705008436
73,puerto natales,-51.7236,-72.4875,289.4,51,75,5.14,CL,1705008436
74,saint-philippe,-21.3585,55.7679,298.92,83,71,5.2,RE,1705008437
75,port lincoln,-34.7333,135.8667,293.21,72,0,2.19,AU,1705008437
76,hithadhoo,-0.6,73.0833,301.63,76,98,6.18,MV,1705008437
77,flying fish cove,-10.4217,105.6791,297.97,94,95,2.06,CX,1705008438
78,tura,25.5198,90.2201,284.54,66,0,1.43,IN,1705008438
79,galliano,29.4422,-90.2992,294.82,87,100,5.48,US,1705008438
80,isla vista,34.4133,-119.861,290.62,36,0,3.09,US,1705008439
81,lusambo,-4.9667,23.45,294.38,97,98,0.28,CD,1705008439
82,tippi,7.2,35.45,296.39,44,100,0.76,ET,1705008439
83,bredasdorp,-34.5322,20.0403,292.54,94,42,1.8,ZA,1705008439
84,shalkar,47.8288,59.6258,261.44,91,73,5.95,KZ,1705008440
85,cidade velha,14.9167,-23.6167,295.41,78,0,5.66,CV,1705008440
86,tolanaro,-25.0319,46.9987,299.19,89,20,10.8,MG,1705008446
87,stanley,54.868,-1.6985,277.48,94,75,2.57,GB,1705008446
88,yellowknife,62.456,-114.3525,233.44,67,75,1.54,CA,1705008446
89,amga,60.8953,131.9608,240.29,98,100,0.31,RU,1705008446
90,port macquarie,-31.4333,152.9167,296.83,74,16,1.54,AU,1705008297
91,kalemie,-5.9475,29.1947,294.01,88,100,1.91,CD,1705008447
92,gaspe,48.8334,-64.4819,274.1,74,75,5.14,CA,1705008448
93,kingston,17.997,-76.7936,303.28,67,29,1.34,JM,1705008345
94,celestun,20.8667,-90.4,300.32,69,85,2.84,MX,1705008448
95,howrah,22.5892,88.3103,286.15,88,0,2.57,IN,1705008448
96,qaqortoq,60.7167,-46.0333,266.64,94,100,1.6,GL,1705008449
97,isangel,-19.55,169.2667,300.72,82,100,4.09,VU,1705008449
98,mokhsogollokh,61.4681,128.9203,241.61,99,100,0.61,RU,1705008449
99,castillos,-34.1667,-53.8333,294.02,61,47,4.78,UY,1705008450
100,lashio,22.9333,97.75,281.87,86,48,0.81,MM,1705008450
101,east london,-33.0153,27.9116,295.56,90,92,5.54,ZA,1705008301
102,plonsk,52.6235,20.3755,272.93,77,11,5.62,PL,1705008451
103,aasiaat,68.7098,-52.8699,255.46,99,96,3.64,GL,1705008451
104,cockburn town,21.4612,-71.1419,299.21,84,13,6.87,TC,1705008452
105,hermanus,-34.4187,19.2345,294.14,83,88,3.01,ZA,1705008452
106,puente nacional,5.8774,-73.6781,295.32,83,59,1.44,CO,1705008452
107,fortuna,40.5982,-124.1573,283.67,74,40,0.45,US,1705008452
108,bandarbeyla,9.4942,50.8122,298.13,77,52,7.16,SO,1705008344
109,igarka,67.4667,86.5833,248.85,97,92,3.48,RU,1705008453
110,ust-nera,64.5667,143.2,236.32,98,100,1.72,RU,1705008453
111,saldanha,-33.0117,17.9442,292.18,98,99,5.41,ZA,1705008454
112,karoi,-16.8099,29.6925,291.87,98,100,2.28,ZW,1705008454
113,port-gentil,-0.7193,8.7815,299.13,94,20,1.03,GA,1705008454
114,sechura,-5.5569,-80.8222,300.11,64,24,6.29,PE,1705008455
115,longyearbyen,78.2186,15.6401,257.06,72,0,4.12,SJ,1705008455
116,punta arenas,-53.15,-70.9167,288.21,47,0,12.86,CL,1705008456
117,richards bay,-28.783,32.0377,296.54,97,49,2.76,ZA,1705008315
118,bonthe,7.5264,-12.505,300.54,81,62,3.95,SL,1705008456
119,chonchi,-42.6128,-73.8092,291.71,54,34,1.45,CL,1705008456
120,arraial do cabo,-22.9661,-42.0278,302.13,65,40,7.72,BR,1705008456
121,rundu,-17.9333,19.7667,293.86,91,100,1.34,NA,1705008457
122,sitka,57.0531,-135.33,266.09,38,0,6.69,US,1705008457
123,kone,-21.0595,164.8658,301.42,70,20,2.87,NC,1705008457
124,lompoc,34.6391,-120.4579,289.09,46,0,6.69,US,1705008445
125,hawaiian paradise park,19.5933,-154.9731,301.5,86,20,3.6,US,1705008458
126,prineville,44.2999,-120.8345,277.1,62,100,9.77,US,1705008458
127,pulaski,34.7668,-92.3001,288.96,79,58,5.36,US,1705008458
128,steszew,52.2837,16.7009,274.41,97,100,2.06,PL,1705008459
129,st. john's,47.5649,-52.7093,275.25,96,100,7.2,CA,1705008305
130,guixi,28.2886,117.2133,280.46,67,6,1.1,CN,1705008459
131,miles city,46.4083,-105.8406,257.69,66,20,3.09,US,1705008459
132,zhanaozen,43.3,52.8,271.18,66,12,4.38,KZ,1705008460
133,argostolion,38.1811,20.489,282.45,56,100,2.87,GR,1705008460
134,saipan,15.1355,145.701,299.54,83,40,3.09,MP,1705008460
135,gering,41.8258,-103.6605,262.84,78,100,4.12,US,1705008460
136,abepura,-2.6333,140.5833,297.6,94,20,1.03,ID,1705008461
137,laguna,38.421,-121.4238,286.31,44,0,2.57,US,1705008461
138,urucara,-2.5364,-57.76,301.37,82,48,1.19,BR,1705008461
139,kristinestad,62.2743,21.376,264.32,90,100,2.66,FI,1705008461
140,ad dilam,23.9915,47.1627,290.38,27,12,5.28,SA,1705008462
141,namibe,-15.1961,12.1522,294.65,72,45,3.22,AO,1705008462
142,saint-pierre,-21.3393,55.4781,298.97,73,0,7.2,RE,1705008462
143,ahfir,34.9537,-2.1003,284.49,88,2,1.21,MA,1705008463
144,port saint john's,-31.6229,29.5448,296.17,91,55,2.96,ZA,1705008463
145,loukhi,66.0764,33.0381,259.13,93,24,2.71,RU,1705008463
146,perelyub,51.8667,50.3667,264.52,93,100,10.49,RU,1705008463
147,anadyr,64.75,177.4833,260.43,84,100,10.0,RU,1705008463
148,marsabit,2.3284,37.9899,296.36,38,91,5.02,KE,1705008464
149,horta,38.5333,-28.6333,288.72,89,75,15.95,PT,1705008464
150,carbonear,47.7332,-53.2148,275.5,95,100,2.72,CA,1705008464
151,phan rang-thap cham,11.5667,108.9833,293.08,88,54,3.23,VN,1705008465
152,aberdeen,57.1437,-2.0981,277.42,96,100,3.6,GB,1705008298
153,acarau,-2.8856,-40.12,301.1,75,18,6.69,BR,1705008465
154,agat village,13.3886,144.6585,300.21,92,40,2.57,GU,1705008465
155,sinabang,2.4803,96.3801,299.7,81,100,0.35,ID,1705008466
156,basco,20.4487,121.9702,294.15,69,100,7.59,PH,1705008466
157,jackson,42.4165,-122.8345,280.14,79,75,0.89,US,1705008197
158,sarikei,2.1167,111.5167,296.93,99,100,0.4,MY,1705008466
159,berezovo,63.9381,65.0419,251.09,91,100,4.83,RU,1705008467
160,susuman,62.7833,148.1667,229.81,100,99,0.45,RU,1705008467
161,iskateley,67.6803,53.1512,246.69,100,100,2.37,RU,1705008468
162,saint-francois,46.4154,3.9054,270.73,100,8,0.0,FR,1705008468
163,talnakh,69.4865,88.3972,257.71,85,100,3.29,RU,1705008468
164,juneau,58.3019,-134.4197,262.15,37,20,6.17,US,1705008468
165,evanston,42.0411,-87.6901,274.85,71,75,3.6,US,1705008469
166,amungan,15.3652,119.9582,296.53,80,15,2.34,PH,1705008469
167,chaman,30.9236,66.4512,284.72,22,100,1.71,PK,1705008469
168,remire-montjoly,4.9167,-52.2667,302.17,74,75,5.66,GF,1705008469
169,papatowai,-46.5619,169.4708,289.61,62,75,6.28,NZ,1705008470
170,ta`u,-14.2336,-169.5144,301.7,72,80,3.04,AS,1705008470
171,abbeville,50.1,1.8333,276.2,93,60,2.43,FR,1705008470
172,port augusta,-32.5,137.7667,300.33,33,0,2.47,AU,1705008470
173,ad diwaniyah,31.9905,44.9306,284.2,65,99,1.69,IQ,1705008471
174,at taj,24.2049,23.2857,284.92,58,87,2.83,LY,1705008471
175,petropavlovsk-kamchatsky,53.0452,158.6483,253.58,55,0,3.0,RU,1705008471
176,puerto ayora,-0.7393,-90.3518,302.13,94,69,4.02,EC,1705008471
177,avarua,-21.2078,-159.775,299.18,78,75,5.14,CK,1705008472
178,udachny,66.4167,112.4,235.54,99,82,2.05,RU,1705008472
179,jamestown,42.097,-79.2353,275.92,96,100,5.14,US,1705008472
180,shitanjing,39.2342,106.3439,273.13,24,40,1.64,CN,1705008472
181,nurpur kalan,31.1667,76.4833,281.45,38,0,1.97,IN,1705008473
182,uchiza,-8.4592,-76.4633,301.54,72,92,0.67,PE,1705008473
183,nuuk,64.1835,-51.7216,269.49,80,20,9.26,GL,1705008473
184,puerto lopez,4.0845,-72.956,307.38,38,100,3.55,CO,1705008473
185,oranjemund,-28.55,16.4333,290.44,95,3,4.08,NA,1705008474
186,weno,7.4515,151.8468,301.12,74,75,4.12,FM,1705008474
187,aral,40.5156,81.2636,272.68,36,99,2.71,CN,1705008474
188,tralee,52.2704,-9.7026,274.69,92,3,2.01,IE,1705008432
189,san andres,12.5847,-81.7006,303.16,74,40,3.09,CO,1705008475
190,narvik,68.4384,17.4272,273.85,96,100,3.58,NO,1705008475
191,vilyuchinsk,52.9306,158.4028,254.4,67,95,3.37,RU,1705008475
192,kailua-kona,19.6406,-155.9956,299.54,81,20,5.66,US,1705008272
193,belidzhi,41.8918,48.4125,277.73,78,100,5.13,RU,1705008476
194,dalandzadgad,43.5708,104.425,268.79,51,0,1.7,MN,1705008476
195,pader,3.05,33.2167,301.04,29,100,1.66,UG,1705008458
196,korla,41.7597,86.1469,269.66,63,87,1.14,CN,1705008477
197,aswan,24.0934,32.907,287.79,42,25,5.45,EG,1705008477
198,ilulissat,69.2167,-51.1,266.16,79,75,3.09,GL,1705008465
199,es castell,39.8795,4.2854,282.53,100,75,2.06,ES,1705008477
200,shingu,33.7333,135.9833,277.45,82,0,2.89,JP,1705008477
201,guerrero negro,27.9769,-114.0611,290.43,57,35,11.62,MX,1705008478
202,queenstown,-31.8976,26.8753,292.29,86,65,2.76,ZA,1705008390
203,progreso,21.2833,-89.6667,306.21,60,85,3.18,MX,1705008478
204,alofi,-19.0595,-169.9187,300.09,83,99,7.72,NU,1705008478
205,shimo-furano,43.35,142.3833,269.69,96,95,1.83,JP,1705008479
206,nova xavantina,-14.6667,-52.35,295.99,93,100,0.8,BR,1705008479
207,kodiak,57.79,-152.4072,276.88,93,100,11.83,US,1705008357
208,fort st. john,56.2499,-120.8529,241.09,62,75,2.57,CA,1705008480
209,plettenberg bay,-34.0527,23.3716,293.17,92,17,0.96,ZA,1705008480
210,concepcion,-36.827,-73.0498,295.04,53,0,6.69,CL,1705008480
211,mumbwa,-14.9783,27.0619,290.95,98,100,2.2,ZM,1705008480
212,lycksele,64.5954,18.6735,272.83,86,100,3.09,SE,1705008481
213,carcare,44.3541,8.2921,278.79,87,1,2.24,IT,1705008481
214,contamana,-7.3333,-75.0167,302.45,64,84,2.04,PE,1705008481
215,tarut,26.5733,50.0369,292.26,64,5,5.61,SA,1705008482
216,lihue,21.9789,-159.3672,295.92,65,100,5.66,US,1705008270
217,san juan,-31.5375,-68.5364,302.62,35,86,4.77,AR,1705008450
218,la dorada,5.4478,-74.6631,305.0,59,10,1.43,CO,1705008483
219,olupona,7.6,4.1833,299.97,17,9,0.79,NG,1705008483
220,puerto quijarro,-17.7833,-57.7667,307.25,44,77,2.56,BO,1705008484
221,viedma,-40.8135,-62.9967,295.19,30,0,6.08,AR,1705008484
222,caleta de carquin,-11.0925,-77.6267,297.99,74,71,5.27,PE,1705008484
223,lerwick,60.1545,-1.1494,279.15,75,95,5.38,GB,1705008485
224,whangarei,-35.7317,174.3239,296.39,58,100,0.43,NZ,1705008485
225,sassandra,4.95,-6.0833,299.82,85,41,3.09,CI,1705008485
226,hilo,19.7297,-155.09,299.05,87,20,3.6,US,1705008216
227,kupang,-10.1667,123.5833,300.47,100,75,1.54,ID,1705008486
228,solnechnyy,50.7214,136.6319,248.72,92,8,2.19,RU,1705008486
229,kavaratti,10.5669,72.642,301.22,71,7,1.55,IN,1705008486
230,cambria,35.5641,-121.0808,287.71,56,1,3.58,US,1705008487
231,kayangel,8.0823,134.7173,301.55,70,60,8.54,PW,1705008307
232,novyy urengoy,66.0833,76.6333,246.77,94,100,7.6,RU,1705008487
233,bodo,67.28,14.405,278.17,89,75,12.86,NO,1705008487
234,hamilton,39.1834,-84.5333,282.55,61,0,5.14,US,1705008488
235,mahibadhoo,3.7833,72.9667,300.57,82,99,7.87,MV,1705008488
236,yarmouth,41.7057,-70.2286,279.41,67,100,4.63,US,1705008488
237,inirida,3.8653,-67.9239,302.13,72,98,2.1,CO,1705008488
238,bata,1.8639,9.7658,299.97,81,84,4.23,GQ,1705008489
239,angaur state,6.906,134.13,302.03,71,62,9.87,PW,1705008489
240,mongo,12.1844,18.693,297.41,19,7,2.53,TD,1705008489
241,santa terezinha,-29.9002,-50.0904,295.55,97,100,2.2,BR,1705008490
242,nagqu,31.5,92.0,258.22,32,0,1.61,CN,1705008491
243,grand falls-windsor,48.9332,-55.6649,275.65,92,97,1.61,CA,1705008491
244,mawlaik,23.6333,94.4167,285.61,79,0,0.48,MM,1705008491
245,natal,-5.795,-35.2094,301.27,74,75,3.09,BR,1705008255
246,jamjamal,35.5365,44.8317,280.19,87,30,3.18,IQ,1705008492
247,banda aceh,5.5577,95.3222,298.68,85,100,4.77,ID,1705008492
248,tank,32.2217,70.3793,285.89,33,67,0.78,PK,1705008493
249,nar'yan-mar,67.6713,53.087,246.84,100,99,2.46,RU,1705008493
250,cooper's town,26.8667,-77.5167,293.92,85,100,5.42,BS,1705008493
251,kingaroy,-26.5333,151.8333,294.85,66,3,5.51,AU,1705008494
252,minas de marcona,-15.2119,-75.1103,294.4,67,40,6.62,PE,1705008494
253,puerto el triunfo,13.2833,-88.55,302.69,60,5,3.93,SV,1705008494
254,quelimane,-17.8786,36.8883,302.12,84,0,3.09,MZ,1705008495
255,la passe,45.5549,-0.8967,275.38,79,1,5.61,FR,1705008495
256,lodja,-3.4833,23.4333,294.84,95,100,0.8,CD,1705008495
257,shagonar,51.5333,92.8,254.16,97,39,2.4,RU,1705008495
258,haiku-pauwela,20.9219,-156.3051,297.74,75,75,9.26,US,1705008496
259,utrik,11.2278,169.8474,299.61,79,22,10.85,MH,1705008496
260,miyako,39.6367,141.9525,277.32,54,36,5.59,JP,1705008496
261,carloforte,39.145,8.3058,285.48,81,92,7.76,IT,1705008496
262,mersing,2.4312,103.8405,297.1,100,40,1.03,MY,1705008497
263,warman,52.3168,-106.5679,247.09,63,75,4.12,CA,1705008497
264,nemuro,43.3236,145.575,274.82,73,100,11.82,JP,1705008497
265,atafu village,-8.5421,-172.5159,301.82,77,100,4.38,TK,1705008497
266,spassk-ryazanskiy,54.4072,40.3806,259.47,84,97,6.34,RU,1705008498
267,codrington,-38.2667,141.9667,289.13,75,28,3.6,AU,1705008498
268,usinsk,65.9939,57.5281,250.41,97,100,8.05,RU,1705008498
269,tatarbunary,45.8373,29.6142,271.73,80,100,3.83,UA,1705008498
270,yuxi,24.355,102.5422,280.16,89,75,1.27,CN,1705008499
271,bhadra,29.1167,75.1667,282.67,33,1,1.66,IN,1705008499
272,margaret river,-33.95,115.0667,288.61,79,70,5.94,AU,1705008499
273,praia da vitoria,38.7333,-27.0667,289.68,82,40,12.87,PT,1705008499
274,sept-iles,50.2001,-66.3821,271.39,94,100,6.17,CA,1705008500
275,mil'kovo,55.6078,37.7956,263.34,74,100,7.06,RU,1705008500
